"Subject","rt","stimulus","TranscriptionEnglish","Rating","CodingForStimulus","responseType","Age","Gender","AmericanEnglishNative","OtherLanguages","AgeOfOtherL2Onset","DescribeOtherL2Experience"
"English2-20241002-001",18366,"dlisbep","delisbep","6",1,"ResponseActual",27,"female","yes","spanish","24","formally at school and in mexico with family"
"English2-20241002-001",13751,"drakpum","dragpum","6",2,"ResponseActual",27,"female","yes","spanish","24","formally at school and in mexico with family"
"English2-20241002-001",14074,"pwuk","pwuek","1",3,"ResponseActual",27,"female","yes","spanish","24","formally at school and in mexico with family"
"English2-20241002-001",14202,"pwam","pwam","5",4,"ResponseActual",27,"female","yes","spanish","24","formally at school and in mexico with family"
"English2-20241002-001",4121,"ndeip","dape","7",5,"ResponseActual",27,"female","yes","spanish","24","formally at school and in mexico with family"
"English2-20241002-001",11667,"paim","pime","7",6,"ResponseActual",27,"female","yes","spanish","24","formally at school and in mexico with family"
"English2-20241002-001",5642,"drantung","dranton","7",7,"ResponseActual",27,"female","yes","spanish","24","formally at school and in mexico with family"
"English2-20241002-001",20668,"gipsus","gibsus","3",8,"ResponseActual",27,"female","yes","spanish","24","formally at school and in mexico with family"
"English2-20241002-001",14515,"mepgut","nepgut","2",9,"ResponseActual",27,"female","yes","spanish","24","formally at school and in mexico with family"
"English2-20241002-001",25740,"trahm","traum","6",10,"ResponseActual",27,"female","yes","spanish","24","formally at school and in mexico with family"
"English2-20241002-001",14252,"tlasdung","klastun","2",11,"ResponseActual",27,"female","yes","spanish","24","formally at school and in mexico with family"
"English2-20241002-001",8267,"tloum","gloum","2",12,"ResponseActual",27,"female","yes","spanish","24","formally at school and in mexico with family"
"English2-20241002-001",12364,"tlem","khlamn","1",13,"ResponseActual",27,"female","yes","spanish","24","formally at school and in mexico with family"
"English2-20241002-001",7492,"trindes","trendess","7",14,"ResponseActual",27,"female","yes","spanish","24","formally at school and in mexico with family"
"English2-20241002-001",27283,"drain","drahim","2",15,"ResponseActual",27,"female","yes","spanish","24","formally at school and in mexico with family"
"English2-20241002-001",8634,"pemdut","pemdut","2",16,"ResponseActual",27,"female","yes","spanish","24","formally at school and in mexico with family"
"English2-20241002-001",10564,"kmeip","khmape","1",17,"ResponseActual",27,"female","yes","spanish","24","formally at school and in mexico with family"
"English2-20241002-001",27235,"drustet","drusdette","3",18,"ResponseActual",27,"female","yes","spanish","24","formally at school and in mexico with family"
"English2-20241002-001",7764,"tlipgat","clipgat","5",19,"ResponseActual",27,"female","yes","spanish","24","formally at school and in mexico with family"
"English2-20241002-001",15668,"suntem","suntem","2",20,"ResponseActual",27,"female","yes","spanish","24","formally at school and in mexico with family"
"English2-20241002-001",59828,"gup","ghup","3",21,"ResponseActual",27,"female","yes","spanish","24","formally at school and in mexico with family"
"English2-20241002-001",10259,"dloun","tlaun","1",22,"ResponseActual",27,"female","yes","spanish","24","formally at school and in mexico with family"
"English2-20241002-001",5036,"ntek","ntek","1",23,"ResponseActual",27,"female","yes","spanish","24","formally at school and in mexico with family"
"English2-20241002-001",24780,"stuun","stoon","5",24,"ResponseActual",27,"female","yes","spanish","24","formally at school and in mexico with family"
"English2-20241002-001",6788,"tlepgim","klepgin","2",25,"ResponseActual",27,"female","yes","spanish","24","formally at school and in mexico with family"
"English2-20241002-001",5379,"pmeit","pmate","1",26,"ResponseActual",27,"female","yes","spanish","24","formally at school and in mexico with family"
"English2-20241002-001",15915,"nutbim","nutbim","2",27,"ResponseActual",27,"female","yes","spanish","24","formally at school and in mexico with family"
"English2-20241002-001",13348,"dlahm","flom","1",28,"ResponseActual",27,"female","yes","spanish","24","formally at school and in mexico with family"
"English2-20241002-001",10675,"bepgik","bepgik","1",29,"ResponseActual",27,"female","yes","spanish","24","formally at school and in mexico with family"
"English2-20241002-001",8468,"pundes","pundis","4",30,"ResponseActual",27,"female","yes","spanish","24","formally at school and in mexico with family"
"English2-20241002-001",12060,"bem","bem","2",31,"ResponseActual",27,"female","yes","spanish","24","formally at school and in mexico with family"
"English2-20241002-001",16137,"gistum","gistun","2",32,"ResponseActual",27,"female","yes","spanish","24","formally at school and in mexico with family"
"English2-20241002-001",5539,"twas","twass","7",33,"ResponseActual",27,"female","yes","spanish","24","formally at school and in mexico with family"
"English2-20241002-001",8882,"tempuk","tempuk","1",34,"ResponseActual",27,"female","yes","spanish","24","formally at school and in mexico with family"
"English2-20241002-001",24219,"sengdun","sangdun","2",35,"ResponseActual",27,"female","yes","spanish","24","formally at school and in mexico with family"
"English2-20241002-001",14351,"drikteng","driktan","1",36,"ResponseActual",27,"female","yes","spanish","24","formally at school and in mexico with family"
"English2-20241002-001",13404,"tisbeng","tisbang","2",37,"ResponseActual",27,"female","yes","spanish","24","formally at school and in mexico with family"
"English2-20241002-001",7560,"punseng","punsang","1",38,"ResponseActual",27,"female","yes","spanish","24","formally at school and in mexico with family"
"English2-20241002-001",5531,"tlumgak","tlumgak","1",39,"ResponseActual",27,"female","yes","spanish","24","formally at school and in mexico with family"
"English2-20241002-001",13194,"kutpim","cookpin","7",40,"ResponseActual",27,"female","yes","spanish","24","formally at school and in mexico with family"
"English2-20241002-001",7297,"twen","twen","5",41,"ResponseActual",27,"female","yes","spanish","24","formally at school and in mexico with family"
