"Subject","rt","stimulus","CodingForStimulus","responseType","Rating","Age","Gender","AmericanEnglishNative","OtherLanguages","AgeOfOtherL2Onset","DescribeOtherL2Experience"
"English1a-20250129-183",8707,"beptus",1,"ResponseActual",5,27,"male","yes","some spanish not much","some in high school and some through communicating with coworkers","not much learning need to spend more time with it"
"English1a-20250129-183",3043,"guut",2,"ResponseActual",6,27,"male","yes","some spanish not much","some in high school and some through communicating with coworkers","not much learning need to spend more time with it"
"English1a-20250129-183",2571,"pmaut",3,"ResponseActual",1,27,"male","yes","some spanish not much","some in high school and some through communicating with coworkers","not much learning need to spend more time with it"
"English1a-20250129-183",3809,"mdak",4,"ResponseActual",7,27,"male","yes","some spanish not much","some in high school and some through communicating with coworkers","not much learning need to spend more time with it"
"English1a-20250129-183",2547,"mpat",5,"ResponseActual",6,27,"male","yes","some spanish not much","some in high school and some through communicating with coworkers","not much learning need to spend more time with it"
"English1a-20250129-183",13299,"driksum",6,"ResponseActual",5,27,"male","yes","some spanish not much","some in high school and some through communicating with coworkers","not much learning need to spend more time with it"
"English1a-20250129-183",14580,"ndek",7,"ResponseActual",5,27,"male","yes","some spanish not much","some in high school and some through communicating with coworkers","not much learning need to spend more time with it"
"English1a-20250129-183",4380,"gakdum",8,"ResponseActual",2,27,"male","yes","some spanish not much","some in high school and some through communicating with coworkers","not much learning need to spend more time with it"
"English1a-20250129-183",5092,"dlang",9,"ResponseActual",3,27,"male","yes","some spanish not much","some in high school and some through communicating with coworkers","not much learning need to spend more time with it"
"English1a-20250129-183",4420,"gekpup",10,"ResponseActual",5,27,"male","yes","some spanish not much","some in high school and some through communicating with coworkers","not much learning need to spend more time with it"
"English1a-20250129-183",5581,"bim",11,"ResponseActual",5,27,"male","yes","some spanish not much","some in high school and some through communicating with coworkers","not much learning need to spend more time with it"
"English1a-20250129-183",8829,"bimkun",12,"ResponseActual",2,27,"male","yes","some spanish not much","some in high school and some through communicating with coworkers","not much learning need to spend more time with it"
"English1a-20250129-183",10053,"gmut",13,"ResponseActual",3,27,"male","yes","some spanish not much","some in high school and some through communicating with coworkers","not much learning need to spend more time with it"
"English1a-20250129-183",4484,"gukpim",14,"ResponseActual",2,27,"male","yes","some spanish not much","some in high school and some through communicating with coworkers","not much learning need to spend more time with it"
"English1a-20250129-183",3100,"treng",15,"ResponseActual",4,27,"male","yes","some spanish not much","some in high school and some through communicating with coworkers","not much learning need to spend more time with it"
